id,title,search_word,condition,listing_type_id,category_id,domain_id,price,available_quantity,shipping.free_shipping,seller.id,seller.nickname,BRAND,GTIN,WEIGHT
MLA833268959,Google Chromecast 2 Tv Full Hd 1080p 2da Generacion Original,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,118000.0,1,True,325303103,DAVIDANDRESACOLO,Google,,
MLA1818464250,Chromecast 4 Smart Google Tv Hd Control Remoto De Voz Star+,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,120000.0,1,True,1821614967,GLOBALGROUPINTERNATIONAL,Google,,112 g
MLA1438676435,Chromecast Con Google Tv De Voz 4 Generación 4k,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,165000.0,1,True,1687169431,ALFAZETASHOP,Google,,63 g
MLA1799691224,Chromecast 4 Hd Soy Gamer ,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,159500.0,1,True,191179311,SOYGAMERARGENTINA,Google,,0.063 kg
MLA1848645712,Google Chromecast 3 Fullhd Spotify Star+ Disney Netflix Hbo,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,77550.0,1,True,56599171,SITEBOOKCOMAR,Google,,
MLA1146854131,Google Chromecast Nc2-6a5 3.ª Generación Full Hd Carbón,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,68992.0,1,False,227445377,JPCOMPUTERSINSUMOS2020,Google,,1.4 g
MLA1438977927,Google Chromecast 4 Generación Con Google Tv Hd Blanco,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,109975.0,1,True,103079985,LUTEC_AR,Google,,112 g
MLA1340184327,Google Chromecast 4 Tv Hd Con Control Remoto Almagro,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,114999.0,1,True,76124792,BLACKDOT.INFORMATICA,Google,,1 kg
MLA1403344297,Google Chromecast Google Tv 4 Generación Hd 1080p Outlet,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,86900.0,1,True,82274172,ELECTROTECHBUENOSAIRES,Google,810037290042,63 g
MLA1817661136,Google Chromecast 4ra Generación Streaming Tv Hd Celular,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,120000.0,1,True,1821614967,GLOBALGROUPINTERNATIONAL,Google,,112 g
MLA1709911112,Chromecast Google Tv Hd 8gb 2gb Ram Wifi Hdmi 4ta Gen Blanco,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,120000.0,1,True,130326065,.COMPONENTES.,Google,,1 kg
MLA1817700206,Chromecast Google With Google Tv De Voz 4.ª Generación Hd 8g,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,120000.0,1,True,1821614967,GLOBALGROUPINTERNATIONAL,Google,,0.063 kg
MLA925870684,Google Chromecast Con Google Tv 4k Snow Blanco En Almagro,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,159999.0,1,True,76124792,BLACKDOT.INFORMATICA,Google,,0.3 g
MLA1435957025,Convertidor Tv Smart De Google 2gb Ram Wifi 5.8 Control Voz,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,137889.0,1,True,723068152,SOLUCIONES TECNOCBA,Google,,0.063 kg
MLA1151054712,Google Chromecast With Google Tv 4 K + Cargador Original ,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,220846.63,1,True,247639927,RAPIDA_ENTREGA_,Google,,
MLA1262563998,Google Chromecast With Google Tv De Voz 4k 8gb  2gb Anywhere,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,220000.0,1,True,223288632,WWW.ANYWHERETIENDA.COM,Google,,0.3 g
MLA1817662462,Chromecast With Google Tv De Voz 4ª Generación Hd 8gb Stream,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,120000.0,1,True,13404008,NUBEL EMPRENDIMIENTOS,Google,,112 g
MLA1737133276,Chromecast Google Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hd,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,170000.0,1,True,95691364,E-POWERPC,Google,,1 kg
MLA1807658386,Google Chromecast 4 4k Hdmi Android Tv Google Play,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,187000.0,1,True,235346211,WEB3ARG SRL,Google,,
MLA1143904639,Chromecast With Google Tv De Voz 4k 8gb Snow 2gb Ram,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,176999.0,50,True,187140437,HTVS.,Google,,0.3 g
MLA1844697814,Google Chromecast 4 Generación Con Google Tv Hd Blanco,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,133000.0,1,True,43016985,MRM_22M,Google,,112 g
MLA1153323316,Google Chromecast With Google Tv De Voz 4k 8gb Snow 2gb Ram,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,170118.0,1,True,680515,ALTAVISTA COMPUTACION,Google,,0.3 g
MLA1434503020,Google Chromecast With Google Tv De Voz 4k 8gb 2gb Ram,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,135478.0,1,True,668916751,ROSARIO_EXCLUSIVOS,Google,,0.3 g
MLA1434799223,Reproductor Multimedia Streaming Chromecast 4 Full Hd Google,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,120000.0,1,True,1821614967,GLOBALGROUPINTERNATIONAL,Google,,112 g
MLA1847853156,Google Chromecast 3 Smart Tv Hdmi Usb ,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,97536.0,1,True,56599171,SITEBOOKCOMAR,Google,842776106131,
MLA1314988978,Google Chromecast 4 4k Android Tv Netflix Flow Ga01919-us,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,143835.0,1,True,77842811,SHIFTDIGITAL,Google,193575007229,0.3 g
MLA1437382280,Google 3ra Chromecast Dispositivo De Streaming D Audio/video,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,90160.4,1,True,208948246,HI-FI LASER.ROSARIO,Google,193575001371,1.4 g
MLA1785159250,Google Chromecast 4 Generación Con Google Tv Hd Blanco,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,105999.0,1,True,488906966,FULLTECHNOLOGYCBA,Google,,112 g
MLA1440835750,Chromecast Google Ga03131 Google Tv Hd 8gb Blanc Meda Flores,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,103999.0,1,True,1386941221,.MEDA,Google,,1 kg
MLA1548712282,Chromecast 3 Gris Full Hd,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,119999.0,1,True,149250843,ICASA S.A.,Google,,0.032 kg
MLA1745035152,Chromecast Google Tv Hd 8gb 2gb Ram 60 Fps 4ta Gen Blanco,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,159500.0,1,True,454018339,RED MOVIL.,Google,,0.063 kg
MLA1150930419,Google Chromecast Ultra 4k 1gb Ram Netflix Refabricado  ,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,99990.0,1,True,309453406,CAMUS ELECTRONICA.COM.AR,Google,8712421528897,
MLA1440847804,Chromecast Google Ga03131 Google Tv Hd 8gb Blanc Meda Flores,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,141999.0,1,True,1386941221,.MEDA,Google,,1 kg
MLA1548495250,Chromecast 3 Gris Full Hd Google,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,155998.7,1,True,149250843,ICASA S.A.,Google,,0.032 kg
MLA1138790661,Google Chromecast 3.ª Generación Full Hd Carbón,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,115999.0,1,True,247511464,NEASTORE.ONLINE,Google,,1.4 g
MLA1867531158,Google Chromecast 4 4k Ga01919 8gb 2gb + Cargador + Control,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,125999.0,1,True,1848533798,NORTHTECHNOLOGY,Google,,0.3 g
MLA1867559262,Google Chromecast 4 Generación Con Google Tv Full Hd Blanco,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,177000.0,1,True,1681715412,BEAN20240213072123,Google,810037290042,112 g
MLA1340095431,Google Chromecast Con Google Tv Full Hd Wifi Fact A-b,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,134891.42,1,True,60246795,MAURICOMPUTACION,Google,810037290042,1 kg
MLA1314931411,Google Chromecast 4 4k Android Tv Netflix Flow Ga0191 Ppct,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,195450.0,1,True,77842811,SHIFTDIGITAL,Google,193575007229,0.3 g
MLA873034403,Google Chromecast 3 - Aj Hogar,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,111900.0,1,True,171416757,JAI SRL,Google,,1.4 g
MLA1421023521,Chromecast Google Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hd,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,105998.94,1,True,95691364,E-POWERPC,Google,,1 kg
MLA1856338416,Google Chromecast 3 Hdmi Transmisor Wifi Tablet Pc Ce Ppct,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,115893.0,1,True,77842811,SHIFTDIGITAL,Google,842776106230,0.032 kg
MLA1854014902,Chromecast Google Tv 4ta Generación Full Hd,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,110999.0,1,True,221041284,ELECTROEYL,Google,,1 kg
MLA1115386434, Google Chromecast 3.0 Google Full Hd Carbón Cargador Usb,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,95199.0,1,True,256263226,PETENATTIHOGAR,Google,,1.4 g
MLA1392550087,Chromecast Google Tv Hd 8gb 2gb Ram Wifi Hdmi 4ta Gen Blanco,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,123784.92,1,True,1294009899,RIMADEL STORE,Google,,1 kg
MLA1434721277,Chromecast Google Tv Hd Ga03131-us 4ta Generación Stream,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,120000.0,1,True,1821614967,GLOBALGROUPINTERNATIONAL,Google,,112 g
MLA1423957195,Google Chromecast 4 Tv Full Hd 1080p 4ta Generacion Original,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,183600.0,1,True,325303103,DAVIDANDRESACOLO,Google,,0.063 kg
MLA924404973, Chromecast 4 + Google Tv 4k Cargador Original Cuot.s S/ Int,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,257077.35,1,True,247639927,RAPIDA_ENTREGA_,Google,,0.3 g
MLA1364281797,Google Chromecast Audio Rux-j42 256mb Negro Box,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,385500.0,1,True,441790337,NUCLEOGAMER.COM,Google,,
MLA1439475798, Chromecast With Google Tv  De Voz 4k 8gb Sellado  Meda ,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,189999.0,1,True,1386941221,.MEDA,Google,6290132558690,
MLA1146866201,Google Chromecast 3.ª Generación Full Hd Carbón,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,68992.0,1,False,227130135,JPCOMPUTERSINSUMOS OESTE,Google,,1.4 g
MLA1362401055,Google Chromecast 4 Hd Ga03131-us Google Tv Hd 8gb C/control,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,131425.0,1,True,204184123,ALPHA-SI.COM.AR,Google,,0.063 kg
MLA1805412586,Google Chromecast 3 Generacion Full Hd Color Negro,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,99000.0,1,True,1351214899,QUEVEDOMARIA20230412185843,Google,,
MLA1375005939, Chromecast With Google Tv  De Voz 4k 8gb Sellado  Meda ,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,149999.0,1,True,1386941221,.MEDA,Google,6290132558690,
MLA1160410860,Google Chromecast 3.ª Generación Full Hd Carbón,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,101731.0,1,True,69357869,TECBYAWC,Google,,1.4 g
MLA1853048586,Google Chromecast 4 Generación Con Google Tv Hd Blanco,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,140000.0,1,True,243043977,MARES234,Google,,112 g
MLA1129796955,Google Chromecast With Google Tv De Voz 4k 8gb Snow 2gb Ram,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,239999.0,500,True,96270679,LAMEJORSOLUCION,Google,,0.3 g
MLA1818455986,Google Chromecast 3 3era Gen. Youtube Netflix Flow Cromecast,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,132000.0,500,True,1178480022,SMARTECHNOLOGIES.OK,Google,,40 g
MLA1439121769,Chromecast With Google Tv - 4ª Generación 4k 8gb Control Voz,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,181000.0,1,True,59208154,CMARIGIOLI,Google,,63 g
MLA1464325364,Chromecast 4 Tv Hd Ga03131 C/control - Google,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,119000.0,1,True,87021400,9BITS.COM.AR,Google,810037290042,292 g
